;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;68;188.5;201.87;193.43;195.48;189.77;197.56;196.07
Geschwindigkeit [km/h]:;69;188.5;189.47;193.43;191.77;194.65;197.56;195.03
Geschwindigkeit [km/h]:;70;188.5;195.77;192.86;195.06;192.99;204.26;188.78
Geschwindigkeit [km/h]:;71;188.5;195.18;186.74;196.75;190.57;192.28;195.03
Geschwindigkeit [km/h]:;72;188.5;189.47;192.86;194.23;196.75;191.29;196.21
Geschwindigkeit [km/h]:;73;188.5;189.47;192.86;192.18;194.65;197.56;201.56
Geschwindigkeit [km/h]:;74;188.5;195.18;192.86;190.17;188.59;197.56;196.07
Geschwindigkeit [km/h]:;75;188.5;189.47;192.86;191.37;193.82;191.29;188.78
Geschwindigkeit [km/h]:;76;188.5;195.18;199.38;193.4;196.33;197.56;195.03
Geschwindigkeit [km/h]:;77;188.5;195.18;193.43;194.65;193.4;205.39;195.92
Geschwindigkeit [km/h]:;78;188.5;195.18;186.74;194.23;188.2;191.29;197.11
Geschwindigkeit [km/h]:;79;188.5;195.18;192.86;195.91;194.23;192.28;195.92
Geschwindigkeit [km/h]:;80;188.5;195.18;192.86;196.75;195.06;198.47;195.92
Geschwindigkeit [km/h]:;81;188.5;195.18;193.43;197.18;195.91;199.38;201.56
Geschwindigkeit [km/h]:;82;188.5;195.18;192.28;193.4;191.37;198.62;196.21
Geschwindigkeit [km/h]:;83;188.5;195.18;192.86;192.99;191.37;191.29;189.89
Geschwindigkeit [km/h]:;84;188.5;195.18;199.38;193.4;196.33;197.56;188.78
Geschwindigkeit [km/h]:;85;188.5;195.18;192.86;194.65;192.99;197.56;195.03
Geschwindigkeit [km/h]:;86;188.5;195.18;192.86;195.06;193.4;204.26;195.03
Geschwindigkeit [km/h]:;87;188.5;188.92;186.74;192.99;191.37;198.17;195.03
Geschwindigkeit [km/h]:;88;188.5;201.87;192.86;199.78;193.4;198.77;188.78
Geschwindigkeit [km/h]:;89;188.5;189.47;199.38;191.37;198.47;197.56;196.07
Geschwindigkeit [km/h]:;90;188.5;195.18;192.86;196.75;195.06;197.56;188.78
Geschwindigkeit [km/h]:;91;188.5;201.87;192.86;198.04;191.77;197.56;189.61
Geschwindigkeit [km/h]:;92;188.5;189.47;192.86;190.17;192.58;193.14;195.92
Geschwindigkeit [km/h]:;93;188.5;195.18;193.43;195.48;194.23;198.47;203.77
Geschwindigkeit [km/h]:;94;188.5;195.18;192.86;196.75;195.06;205.23;201.56
Geschwindigkeit [km/h]:;95;188.5;195.18;192.86;196.75;195.06;198.47;194.89
