;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;293;188.5;195.77;192.86;192.18;190.17;191.29;194.89
Geschwindigkeit [km/h]:;294;188.5;195.77;192.86;196.75;194.65;197.56;201.56
Geschwindigkeit [km/h]:;295;188.5;195.77;192.86;195.06;192.99;205.39;194.89
Geschwindigkeit [km/h]:;296;188.5;189.47;192.86;196.33;198.91;197.56;196.96
Geschwindigkeit [km/h]:;297;188.5;195.18;192.86;192.58;190.97;197.56;202.5
Geschwindigkeit [km/h]:;298;188.5;195.18;192.86;192.99;191.37;205.23;201.56
Geschwindigkeit [km/h]:;299;188.5;189.47;186.74;193.82;191.77;198.47;188.78
Geschwindigkeit [km/h]:;300;188.5;195.18;192.86;194.23;192.58;205.55;188.78
Geschwindigkeit [km/h]:;301;188.5;195.18;192.86;195.48;193.82;191.29;196.07
Geschwindigkeit [km/h]:;302;188.5;195.18;199.38;190.57;193.4;197.56;188.78
Geschwindigkeit [km/h]:;303;188.5;195.77;192.86;195.91;193.82;197.56;195.03
Geschwindigkeit [km/h]:;304;188.5;188.92;199.38;191.77;199.34;198.62;194.89
Geschwindigkeit [km/h]:;305;188.5;195.18;193.43;197.18;195.91;197.41;189.89
Geschwindigkeit [km/h]:;306;188.5;195.77;192.86;192.99;190.97;197.56;195.92
Geschwindigkeit [km/h]:;307;188.5;201.87;192.86;196.75;190.57;197.56;195.77
Geschwindigkeit [km/h]:;308;188.5;195.18;192.86;196.75;195.06;198.47;202.18
Geschwindigkeit [km/h]:;309;188.5;189.47;192.86;192.18;194.65;199.69;196.21
Geschwindigkeit [km/h]:;310;188.5;195.77;193.43;196.33;194.65;197.56;196.07
Geschwindigkeit [km/h]:;311;188.5;195.18;192.86;195.91;194.23;197.56;195.03
Geschwindigkeit [km/h]:;312;188.5;189.47;192.86;191.77;194.23;191.43;194.89
Geschwindigkeit [km/h]:;313;188.5;195.18;192.86;191.37;189.77;198.62;195.03
Geschwindigkeit [km/h]:;314;188.5;189.47;192.86;191.37;193.82;197.56;196.07
Geschwindigkeit [km/h]:;315;188.5;188.92;192.86;195.91;198.91;197.56;188.78
Geschwindigkeit [km/h]:;316;188.5;195.77;192.86;196.33;194.23;197.56;195.77
Geschwindigkeit [km/h]:;317;188.5;195.77;187.28;196.75;190.57;198.62;202.5
Geschwindigkeit [km/h]:;318;188.5;195.77;193.43;195.06;193.4;199.69;197.11
Geschwindigkeit [km/h]:;319;188.5;195.18;192.86;196.33;194.65;205.23;196.07
Geschwindigkeit [km/h]:;320;188.5;195.18;186.74;196.75;190.57;197.56;194.89
Geschwindigkeit [km/h]:;321;188.5;195.77;193.43;196.75;195.06;204.26;188.78
Geschwindigkeit [km/h]:;322;188.5;195.18;199.38;192.18;195.06;198.62;195.03
Geschwindigkeit [km/h]:;323;188.5;195.18;192.86;193.4;191.77;191.29;196.21
Geschwindigkeit [km/h]:;324;188.5;195.18;186.74;198.04;191.77;197.56;195.03
Geschwindigkeit [km/h]:;325;188.5;195.77;192.86;195.06;192.99;197.56;188.78
Geschwindigkeit [km/h]:;326;188.5;195.18;192.86;196.33;194.65;204.09;202.5
Geschwindigkeit [km/h]:;327;188.5;195.77;193.43;192.58;190.97;192.57;196.96
Geschwindigkeit [km/h]:;328;188.5;189.47;192.86;192.99;195.48;198.47;196.96
Geschwindigkeit [km/h]:;329;188.5;195.77;199.38;193.4;195.91;198.47;195.03
Geschwindigkeit [km/h]:;330;188.5;195.18;192.86;194.23;192.58;197.56;195.03
Geschwindigkeit [km/h]:;331;188.5;195.77;193.43;195.06;193.4;198.62;195.03
Geschwindigkeit [km/h]:;332;188.5;195.18;192.86;200.22;198.47;197.56;196.07
Geschwindigkeit [km/h]:;333;188.5;195.77;192.86;195.48;193.4;197.56;194.89
Geschwindigkeit [km/h]:;334;188.5;195.18;186.74;195.06;188.98;197.56;195.03
Geschwindigkeit [km/h]:;335;188.5;189.47;192.86;194.65;197.18;192.43;194.89
Geschwindigkeit [km/h]:;336;188.5;195.77;199.38;189.77;192.18;198.62;196.96
Geschwindigkeit [km/h]:;337;188.5;188.92;192.86;193.82;196.75;197.56;195.77
Geschwindigkeit [km/h]:;338;188.5;195.18;192.86;198.04;196.33;198.47;195.77
Geschwindigkeit [km/h]:;339;188.5;195.77;192.86;197.61;195.48;198.47;194.89
Geschwindigkeit [km/h]:;340;188.5;195.77;192.86;196.33;194.23;193.29;194.89
Geschwindigkeit [km/h]:;341;188.5;195.77;192.86;193.4;191.37;197.56;196.07
Geschwindigkeit [km/h]:;342;188.5;195.18;193.43;191.77;190.57;197.41;194.89
Geschwindigkeit [km/h]:;343;188.5;195.77;192.86;195.48;193.4;198.47;196.07
Geschwindigkeit [km/h]:;344;188.5;190.03;186.74;194.65;192.18;197.56;195.03
Geschwindigkeit [km/h]:;345;188.5;189.47;192.86;193.82;196.33;197.56;195.03
Geschwindigkeit [km/h]:;346;188.5;195.18;193.43;197.18;195.91;192.28;195.03
Geschwindigkeit [km/h]:;347;188.5;195.77;187.28;197.61;191.37;197.56;196.21
Geschwindigkeit [km/h]:;348;188.5;195.77;192.86;192.99;190.97;204.26;195.03
Geschwindigkeit [km/h]:;349;188.5;195.18;193.43;191.77;190.57;204.26;195.77
Geschwindigkeit [km/h]:;350;188.5;195.18;193.43;192.58;191.37;192.28;195.92
Geschwindigkeit [km/h]:;351;188.5;195.18;193.43;196.33;195.06;199.54;196.96
Geschwindigkeit [km/h]:;352;188.5;188.92;199.38;192.18;199.78;205.23;195.77
Geschwindigkeit [km/h]:;353;188.5;195.18;193.43;195.91;194.65;198.47;201.56
Geschwindigkeit [km/h]:;354;188.5;195.77;192.86;192.18;190.17;197.56;194.89
Geschwindigkeit [km/h]:;355;188.5;195.77;192.86;197.18;195.06;198.62;194.89
Geschwindigkeit [km/h]:;356;188.5;195.18;192.86;192.99;191.37;191.29;189.89
Geschwindigkeit [km/h]:;357;188.5;201.87;192.86;203.36;196.75;197.56;195.03
Geschwindigkeit [km/h]:;358;188.5;195.18;192.86;198.04;196.33;204.26;195.03
Geschwindigkeit [km/h]:;359;188.5;195.18;192.86;192.58;190.97;204.74;195.48
Geschwindigkeit [km/h]:;360;188.5;195.77;186.74;196.75;190.17;192.43;197.11
Geschwindigkeit [km/h]:;361;188.5;189.47;192.86;191.77;194.23;198.47;202.5
Geschwindigkeit [km/h]:;362;188.5;195.77;187.28;195.48;189.38;198.32;195.92
Geschwindigkeit [km/h]:;363;188.5;195.18;192.86;198.47;196.75;198.47;194.89
Geschwindigkeit [km/h]:;364;188.5;195.18;192.86;193.4;191.77;198.62;195.03
Geschwindigkeit [km/h]:;365;188.5;201.87;192.86;196.75;190.57;197.56;196.07
Geschwindigkeit [km/h]:;366;188.5;195.18;193.43;196.33;195.06;197.56;195.03
Geschwindigkeit [km/h]:;367;188.5;195.77;192.86;193.4;191.37;197.41;201.56
Geschwindigkeit [km/h]:;368;188.5;195.77;192.86;193.4;191.37;198.62;201.56
Geschwindigkeit [km/h]:;369;188.5;195.18;192.86;193.4;191.77;198.62;197.11
Geschwindigkeit [km/h]:;370;188.5;195.77;199.38;194.65;197.18;197.56;195.92
Geschwindigkeit [km/h]:;371;188.5;195.77;192.86;195.06;192.99;198.47;189.75
Geschwindigkeit [km/h]:;372;188.5;195.18;187.28;195.06;189.38;198.32;195.92
Geschwindigkeit [km/h]:;373;188.5;195.18;199.38;194.65;197.61;199.69;194.89
Geschwindigkeit [km/h]:;374;188.5;201.87;192.86;198.47;192.18;197.41;196.21
Geschwindigkeit [km/h]:;375;188.5;195.77;192.86;198.04;195.91;197.56;188.78
Geschwindigkeit [km/h]:;376;188.5;201.87;192.86;197.61;191.37;197.56;194.89
Geschwindigkeit [km/h]:;377;188.5;201.87;192.86;196.75;190.57;198.62;195.03
Geschwindigkeit [km/h]:;378;188.5;195.77;192.28;195.91;193.4;197.56;196.21
Geschwindigkeit [km/h]:;379;188.5;189.47;192.86;190.97;193.4;197.56;195.92
Geschwindigkeit [km/h]:;380;188.5;195.77;193.43;195.91;194.23;197.56;195.92
Geschwindigkeit [km/h]:;381;188.5;201.87;192.86;200.22;193.82;198.32;202.5
Geschwindigkeit [km/h]:;382;188.5;195.77;192.86;195.91;193.82;193.29;196.96
Geschwindigkeit [km/h]:;383;188.5;209.03;186.74;205.66;189.77;198.47;196.21
Geschwindigkeit [km/h]:;384;188.5;195.18;199.38;195.91;198.91;204.09;194.89
Geschwindigkeit [km/h]:;385;188.5;195.77;192.86;196.33;194.23;197.41;195.03
Geschwindigkeit [km/h]:;386;188.5;189.47;193.43;192.99;195.91;192.28;195.03
Geschwindigkeit [km/h]:;387;188.5;189.47;192.86;193.4;195.91;204.26;196.21
Geschwindigkeit [km/h]:;388;188.5;195.77;192.86;197.18;195.06;197.56;188.92
Geschwindigkeit [km/h]:;389;188.5;195.77;192.86;197.18;195.06;197.56;195.92
Geschwindigkeit [km/h]:;390;188.5;195.18;193.43;192.99;191.77;192.43;195.92
Geschwindigkeit [km/h]:;391;188.5;201.87;192.86;198.47;192.18;198.93;196.96
Geschwindigkeit [km/h]:;392;188.5;188.92;192.86;194.23;197.18;205.23;190.73
Geschwindigkeit [km/h]:;393;188.5;195.18;192.86;194.23;192.58;198.47;195.03
Geschwindigkeit [km/h]:;394;188.5;195.18;193.43;194.23;192.99;198.47;194.89
Geschwindigkeit [km/h]:;395;188.5;195.77;192.86;195.48;193.4;198.62;194.89
Geschwindigkeit [km/h]:;396;188.5;189.47;192.86;191.77;194.23;197.41;196.07
Geschwindigkeit [km/h]:;397;188.5;195.18;186.74;196.75;190.57;204.26;194.89
Geschwindigkeit [km/h]:;398;188.5;195.18;192.86;196.33;194.65;197.56;194.89
Geschwindigkeit [km/h]:;399;188.5;188.92;193.43;190.97;194.23;197.56;195.03
Geschwindigkeit [km/h]:;400;188.5;195.77;187.28;194.65;188.59;192.43;197.11
Geschwindigkeit [km/h]:;401;188.5;189.47;186.74;195.06;192.99;198.47;190.73
Geschwindigkeit [km/h]:;402;188.5;195.77;193.43;193.4;191.77;198.47;195.92
Geschwindigkeit [km/h]:;403;188.5;189.47;192.86;192.99;195.48;198.47;195.03
Geschwindigkeit [km/h]:;404;188.5;189.47;187.28;196.33;194.65;199.69;195.03
Geschwindigkeit [km/h]:;405;188.5;195.77;192.86;195.91;193.82;197.56;196.21
Geschwindigkeit [km/h]:;406;188.5;195.77;199.38;191.37;193.82;197.56;195.03
Geschwindigkeit [km/h]:;407;188.5;195.18;193.43;195.48;194.23;198.47;196.21
Geschwindigkeit [km/h]:;408;188.5;195.77;192.86;195.91;193.82;197.56;195.03
Geschwindigkeit [km/h]:;409;188.5;195.18;193.43;192.99;191.77;197.56;195.03
Geschwindigkeit [km/h]:;410;188.5;195.18;199.38;188.98;191.77;198.62;195.03
Geschwindigkeit [km/h]:;411;188.5;195.77;192.86;194.23;192.18;197.56;196.21
Geschwindigkeit [km/h]:;412;188.5;195.77;186.74;198.91;192.18;197.56;195.03
Geschwindigkeit [km/h]:;413;188.5;195.77;192.86;194.65;192.58;191.29;195.92
Geschwindigkeit [km/h]:;414;188.5;201.87;192.86;198.47;192.18;197.56;202.66
Geschwindigkeit [km/h]:;415;188.5;195.77;192.86;194.23;192.18;206.53;197.11
Geschwindigkeit [km/h]:;416;188.5;189.47;192.86;194.23;196.75;198.47;196.07
Geschwindigkeit [km/h]:;417;188.5;195.18;199.38;193.82;196.75;198.47;195.03
Geschwindigkeit [km/h]:;418;188.5;195.77;192.86;198.47;196.33;204.26;195.03
Geschwindigkeit [km/h]:;419;188.5;195.77;192.86;193.4;191.37;198.62;194.89
Geschwindigkeit [km/h]:;420;188.5;195.18;192.86;192.99;191.37;197.56;196.21
Geschwindigkeit [km/h]:;421;188.5;195.77;192.86;196.75;194.65;191.29;195.03
Geschwindigkeit [km/h]:;422;188.5;195.77;192.86;195.48;193.4;191.29;188.78
Geschwindigkeit [km/h]:;423;188.5;195.77;192.86;195.06;192.99;198.77;195.92
Geschwindigkeit [km/h]:;424;188.5;201.87;193.43;198.47;192.58;198.77;202.66
Geschwindigkeit [km/h]:;425;188.5;202.5;192.86;198.04;191.37;198.47;197.11
Geschwindigkeit [km/h]:;426;188.5;195.18;199.38;193.4;196.33;192.14;195.03
Geschwindigkeit [km/h]:;427;188.5;195.77;192.86;192.58;190.57;198.47;195.03
Geschwindigkeit [km/h]:;428;188.5;195.18;192.28;195.91;193.82;198.77;195.03
Geschwindigkeit [km/h]:;429;188.5;201.87;199.38;195.06;193.4;197.56;189.89
Geschwindigkeit [km/h]:;430;188.5;195.77;193.43;194.23;192.58;204.26;195.03
Geschwindigkeit [km/h]:;431;188.5;189.47;192.86;193.82;196.33;197.56;188.78
Geschwindigkeit [km/h]:;432;188.5;195.18;192.86;195.06;193.4;204.09;194.89
Geschwindigkeit [km/h]:;433;188.5;189.47;192.86;190.17;192.58;192.43;196.07
Geschwindigkeit [km/h]:;434;188.5;195.77;192.86;193.82;191.77;204.26;197.11
Geschwindigkeit [km/h]:;435;188.5;188.92;192.86;192.18;195.06;192.28;195.92
Geschwindigkeit [km/h]:;436;188.5;189.47;193.43;190.97;193.82;198.47;195.03
Geschwindigkeit [km/h]:;437;188.5;195.18;192.86;195.06;193.4;199.69;196.07
Geschwindigkeit [km/h]:;438;188.5;190.03;193.43;195.06;197.61;197.56;196.21
Geschwindigkeit [km/h]:;439;188.5;188.92;192.86;194.23;197.18;191.29;194.89
Geschwindigkeit [km/h]:;440;188.5;195.18;186.74;198.04;191.77;197.56;195.03
Geschwindigkeit [km/h]:;441;188.5;195.77;192.86;197.18;195.06;198.77;195.03
Geschwindigkeit [km/h]:;442;188.5;189.47;193.43;195.91;198.91;198.77;196.21
Geschwindigkeit [km/h]:;443;188.5;195.77;193.43;195.06;193.4;197.56;195.03
Geschwindigkeit [km/h]:;444;188.5;195.77;193.43;195.06;193.4;197.56;195.92
Geschwindigkeit [km/h]:;445;188.5;195.77;192.86;195.06;192.99;198.47;195.92
Geschwindigkeit [km/h]:;446;188.5;195.18;193.43;195.06;193.82;193.29;195.03
Geschwindigkeit [km/h]:;447;188.5;195.18;192.86;195.06;193.4;198.47;196.07
Geschwindigkeit [km/h]:;448;188.5;189.47;193.43;190.57;193.4;197.56;201.56
Geschwindigkeit [km/h]:;449;188.5;188.92;192.86;190.97;193.82;191.29;195.03
Geschwindigkeit [km/h]:;450;188.5;195.18;192.86;191.77;190.17;198.77;195.03
Geschwindigkeit [km/h]:;451;188.5;189.47;192.86;191.77;194.23;191.29;196.07
Geschwindigkeit [km/h]:;452;188.5;189.47;187.28;195.48;193.82;197.56;201.56
Geschwindigkeit [km/h]:;453;188.5;195.18;192.86;194.65;192.99;197.56;195.92
Geschwindigkeit [km/h]:;454;188.5;189.47;199.38;189.77;196.75;204.26;195.92
Geschwindigkeit [km/h]:;455;188.5;195.77;192.86;195.91;193.82;199.69;196.96
Geschwindigkeit [km/h]:;456;188.5;195.18;192.86;191.77;190.17;192.28;196.21
Geschwindigkeit [km/h]:;457;188.5;195.18;192.86;196.33;194.65;205.23;194.89
Geschwindigkeit [km/h]:;458;188.5;195.77;192.86;197.18;195.06;197.56;188.78
Geschwindigkeit [km/h]:;459;188.5;201.87;192.86;198.04;191.77;198.62;195.03
Geschwindigkeit [km/h]:;460;188.5;195.77;199.38;193.82;196.33;197.56;202.66
Geschwindigkeit [km/h]:;461;188.5;195.18;192.86;193.4;191.77;197.56;195.03
Geschwindigkeit [km/h]:;462;188.5;195.18;192.86;194.23;192.58;204.26;194.89
Geschwindigkeit [km/h]:;463;188.5;195.77;192.86;194.23;192.18;192.28;189.61
Geschwindigkeit [km/h]:;464;188.5;195.77;192.86;198.47;196.33;198.77;197.11
Geschwindigkeit [km/h]:;465;188.5;195.77;193.43;192.99;191.37;198.47;197.11
Geschwindigkeit [km/h]:;466;188.5;195.77;192.86;192.99;190.97;198.47;195.03
Geschwindigkeit [km/h]:;467;188.5;195.77;192.86;197.61;195.48;192.14;195.03
Geschwindigkeit [km/h]:;468;188.5;195.18;186.74;197.18;190.97;198.77;195.03
Geschwindigkeit [km/h]:;469;188.5;195.18;192.86;192.58;190.97;191.29;189.89
Geschwindigkeit [km/h]:;470;188.5;195.77;192.86;196.33;194.23;197.56;201.56
Geschwindigkeit [km/h]:;471;188.5;195.18;186.74;200.22;193.82;198.47;196.07
Geschwindigkeit [km/h]:;472;188.5;195.18;193.43;193.4;192.18;191.29;194.89
Geschwindigkeit [km/h]:;473;188.5;195.18;199.38;192.58;195.48;197.56;194.89
Geschwindigkeit [km/h]:;474;188.5;195.18;192.86;196.33;194.65;198.77;194.89
Geschwindigkeit [km/h]:;475;188.5;202.5;192.86;200.22;193.4;197.56;196.07
Geschwindigkeit [km/h]:;476;188.5;195.18;193.43;195.06;193.82;197.56;195.03
Geschwindigkeit [km/h]:;477;188.5;195.77;199.38;192.58;195.06;204.26;195.92
Geschwindigkeit [km/h]:;478;188.5;195.77;193.43;196.33;194.65;198.47;195.92
Geschwindigkeit [km/h]:;479;188.5;195.77;192.86;196.75;194.65;199.69;202.5
Geschwindigkeit [km/h]:;480;188.5;195.77;192.86;192.58;190.57;198.47;196.07
Geschwindigkeit [km/h]:;481;188.5;201.87;193.43;192.18;186.65;205.23;195.03
Geschwindigkeit [km/h]:;482;188.5;195.77;193.43;192.18;190.57;197.56;195.03
Geschwindigkeit [km/h]:;483;188.5;195.77;187.28;197.18;190.97;198.62;195.03
Geschwindigkeit [km/h]:;484;188.5;189.47;192.86;193.4;195.91;191.29;196.07
Geschwindigkeit [km/h]:;485;188.5;195.77;192.86;194.23;192.18;204.26;194.89
Geschwindigkeit [km/h]:;486;188.5;189.47;193.43;194.23;197.18;191.29;195.03
Geschwindigkeit [km/h]:;487;188.5;189.47;192.86;194.23;196.75;197.56;195.92
Geschwindigkeit [km/h]:;488;188.5;195.18;199.38;193.82;196.75;198.62;196.96
Geschwindigkeit [km/h]:;489;188.5;195.77;193.43;197.61;195.91;198.47;196.96
Geschwindigkeit [km/h]:;490;188.5;195.77;193.43;192.99;191.37;198.47;195.77
Geschwindigkeit [km/h]:;491;188.5;195.77;192.86;193.4;191.37;198.47;188.78
Geschwindigkeit [km/h]:;492;188.5;195.18;186.74;198.47;192.18;198.77;194.89
Geschwindigkeit [km/h]:;493;188.5;189.47;192.86;194.65;197.18;197.56;196.21
Geschwindigkeit [km/h]:;494;188.5;195.77;192.86;194.23;192.18;197.56;194.89
Geschwindigkeit [km/h]:;495;188.5;195.77;186.74;195.06;188.59;197.56;188.78
Geschwindigkeit [km/h]:;496;188.5;195.18;193.43;194.23;192.99;198.62;195.03
Geschwindigkeit [km/h]:;497;188.5;;192.86;194.23;192.58;198.77;196.81
Geschwindigkeit [km/h]:;498;188.5;195.18;192.86;194.65;192.99;204.26;197.11
Geschwindigkeit [km/h]:;499;188.5;201.87;186.74;198.91;188.2;198.47;195.92
Geschwindigkeit [km/h]:;500;188.5;195.18;192.86;196.33;194.65;198.47;195.03
